Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
106,12.72,2870.3,201939,23.8043,11.2061,25.1923,12.5399,23.9097,11.9358,23.7684,11.5278,1.925,0.7373,0.3237,10.2634,0.7271,0.3989
107,12.839,2870.18,201939,23.767,11.0952,21.9928,9.7909,23.412,10.2631,23.5154,11.0966,2.2021,0.9046,0.2516,10.2634,0.7271,0.3989
108,12.96,2870.06,201939,23.7487,10.9583,23.9262,10.6188,23.7594,10.5624,23.6235,10.8578,0.3831,0.396,0.1606,10.2634,0.7271,0.3989
109,13.08,2869.94,201939,23.7499,10.7913,29.2256,14.4012,24.4568,12.2249,24.0423,11.1314,6.5585,1.5984,0.4485,10.2634,0.7271,0.3989
110,13.199,2869.82,201939,23.7965,10.6259,21.7421,9.7397,23.5244,10.3652,23.764,10.9862,2.2374,0.3768,0.3618,10.2634,0.7271,0.3989
111,13.32,2869.7,201939,23.872,10.4378,28.1447,14.1523,24.0041,12.1883,23.844,11.1869,5.6616,1.7555,0.7497,10.2634,0.7271,0.3989
112,13.44,2869.57,201939,23.9733,10.3057,26.5835,11.6907,24.4043,10.9396,24.101,10.9425,2.9548,0.7665,0.6495,10.2634,0.7271,0.3989
113,13.559,2869.45,201939,24.0895,10.1459,22.3199,8.9284,24.1474,9.3062,24.0499,10.3193,2.148,0.8417,0.1778,10.2634,0.7271,0.3989
114,13.68,2869.33,201939,24.2305,10.0032,21.6145,8.8577,24.127,9.4599,24.1146,10.1846,2.8558,0.5531,0.2153,10.2634,0.7271,0.3989
115,13.8,2869.21,201939,24.4122,9.8138,22.4114,8.9302,24.4234,9.3578,24.2866,9.9828,2.1872,0.4561,0.2106,10.2634,0.7271,0.3989
116,13.919,2869.09,201939,24.573,9.5878,33.9633,12.5708,24.5742,10.2369,24.4182,9.8164,9.8527,0.6491,0.2761,10.2634,0.7271,0.3989
117,14.04,2868.97,201939,24.741,9.4051,23.9147,9.0724,24.6388,9.2004,24.5175,9.5775,0.8908,0.2288,0.2822,10.2634,0.7271,0.3989
118,14.16,2868.85,201939,24.9099,9.2486,24.4125,9.6003,25.1362,9.7693,24.905,9.7702,0.6092,0.5678,0.5216,10.2634,0.7271,0.3989
119,14.279,2868.73,201939,25.0523,9.0937,26.7747,10.4392,25.5972,10.147,25.296,9.9037,2.1856,1.1858,0.8459,10.2634,0.7271,0.3989
120,14.4,2868.61,201939,25.1552,8.9655,18.6171,7.3083,24.832,7.7059,24.9372,9.2636,6.7449,1.3004,0.3693,10.2634,0.7271,0.3989
121,14.52,2868.49,201939,25.3318,8.9113,23.037,8.5188,25.316,8.8511,25.1555,9.232,2.3281,0.0622,0.366,10.2634,0.7271,0.3989
122,14.639,2868.37,201939,25.4851,8.818,24.0232,8.5787,25.3848,8.7485,25.2661,9.0741,1.4813,0.1221,0.3369,10.2634,0.7271,0.3989
123,14.76,2868.25,201939,25.7084,8.7809,37.65,10.3164,25.5294,8.9402,25.4046,8.8367,12.0399,0.2396,0.3089,10.2634,0.7271,0.3989
124,14.88,2868.13,201939,25.9645,8.7845,35.7822,12.5602,26.2959,10.386,25.906,9.2568,10.5187,1.6354,0.4759,10.2634,0.7271,0.3989
125,14.999,2868.01,201939,26.199,8.8369,28.6507,9.4447,26.2881,9.1203,26.0958,9.1167,2.5259,0.2971,0.2982,10.2634,0.7271,0.3989
